_id,Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste,ChristmasTree
221,Wednesday2,2022-03-30,W,0,W,0,0
222,Wednesday2,2022-04-06,W,W,0,W,0
223,Wednesday2,2022-04-13,W,0,W,0,0
224,Wednesday2,2022-04-20,W,W,0,W,0
225,Wednesday2,2022-04-27,W,0,W,0,0
226,Wednesday2,2022-05-04,W,W,0,W,0
227,Wednesday2,2022-05-11,W,0,W,0,0
228,Wednesday2,2022-05-18,W,W,0,W,0
229,Wednesday2,2022-05-25,W,0,W,0,0
230,Wednesday2,2022-06-01,W,W,0,W,0
231,Wednesday2,2022-06-08,W,0,W,0,0
232,Wednesday2,2022-06-15,W,W,0,W,0
233,Wednesday2,2022-06-22,W,0,W,0,0
234,Wednesday2,2022-06-29,W,W,0,W,0
235,Wednesday2,2022-07-06,W,0,W,0,0
236,Wednesday2,2022-07-13,W,W,0,W,0
237,Wednesday2,2022-07-20,W,0,W,0,0
238,Wednesday2,2022-07-27,W,W,0,W,0
239,Wednesday2,2022-08-03,W,0,W,0,0
240,Wednesday2,2022-08-10,W,W,0,W,0
241,Wednesday2,2022-08-17,W,0,W,0,0
242,Wednesday2,2022-08-24,W,W,0,W,0
243,Wednesday2,2022-08-31,W,0,W,0,0
244,Wednesday2,2022-09-07,W,W,0,W,0
245,Wednesday2,2022-09-14,W,0,W,0,0
246,Wednesday2,2022-09-21,W,W,0,W,0
247,Wednesday2,2022-09-28,W,0,W,0,0
248,Wednesday2,2022-10-05,W,W,0,W,0
249,Wednesday2,2022-10-12,W,0,W,0,0
250,Wednesday2,2022-10-19,W,W,0,W,0
251,Wednesday2,2022-10-26,W,0,W,0,0
252,Wednesday2,2022-11-02,W,W,0,W,0
253,Wednesday2,2022-11-09,W,0,W,0,0
254,Wednesday2,2022-11-16,W,W,0,W,0
255,Wednesday2,2022-11-23,W,0,W,0,0
256,Wednesday2,2022-11-30,W,W,0,W,0
257,Wednesday2,2022-12-07,W,0,W,0,0
258,Wednesday2,2022-12-14,W,W,0,W,0
259,Wednesday2,2022-12-21,W,0,W,0,0
260,Wednesday2,2022-12-28,W,W,0,0,0
261,Thursday1,2022-01-06,R,R,0,0,R
262,Thursday1,2022-01-13,R,0,R,0,0
263,Thursday1,2022-01-20,R,R,0,0,R
264,Thursday1,2022-01-27,R,0,R,0,0
265,Thursday1,2022-02-03,R,R,0,0,0
266,Thursday1,2022-02-10,R,0,R,0,0
267,Thursday1,2022-02-17,R,R,0,0,0
268,Thursday1,2022-02-24,R,0,R,0,0
269,Thursday1,2022-03-03,R,R,0,0,0
270,Thursday1,2022-03-10,R,0,R,0,0
271,Thursday1,2022-03-17,R,R,0,R,0
272,Thursday1,2022-03-24,R,0,R,0,0
273,Thursday1,2022-03-31,R,R,0,R,0
274,Thursday1,2022-04-07,R,0,R,0,0
275,Thursday1,2022-04-14,R,R,0,R,0
276,Thursday1,2022-04-21,R,0,R,0,0
277,Thursday1,2022-04-28,R,R,0,R,0
278,Thursday1,2022-05-05,R,0,R,0,0
279,Thursday1,2022-05-12,R,R,0,R,0
280,Thursday1,2022-05-19,R,0,R,0,0
281,Thursday1,2022-05-26,R,R,0,R,0
282,Thursday1,2022-06-02,R,0,R,0,0
283,Thursday1,2022-06-09,R,R,0,R,0
284,Thursday1,2022-06-16,R,0,R,0,0
285,Thursday1,2022-06-23,R,R,0,R,0
286,Thursday1,2022-06-30,R,0,R,0,0
287,Thursday1,2022-07-07,R,R,0,R,0
288,Thursday1,2022-07-14,R,0,R,0,0
289,Thursday1,2022-07-21,R,R,0,R,0
290,Thursday1,2022-07-28,R,0,R,0,0
291,Thursday1,2022-08-04,R,R,0,R,0
292,Thursday1,2022-08-11,R,0,R,0,0
293,Thursday1,2022-08-18,R,R,0,R,0
294,Thursday1,2022-08-25,R,0,R,0,0
295,Thursday1,2022-09-01,R,R,0,R,0
296,Thursday1,2022-09-08,R,0,R,0,0
297,Thursday1,2022-09-15,R,R,0,R,0
298,Thursday1,2022-09-22,R,0,R,0,0
299,Thursday1,2022-09-29,R,R,0,R,0
300,Thursday1,2022-10-06,R,0,R,0,0
301,Thursday1,2022-10-13,R,R,0,R,0
302,Thursday1,2022-10-20,R,0,R,0,0
303,Thursday1,2022-10-27,R,R,0,R,0
304,Thursday1,2022-11-03,R,0,R,0,0
305,Thursday1,2022-11-10,R,R,0,R,0
306,Thursday1,2022-11-17,R,0,R,0,0
307,Thursday1,2022-11-24,R,R,0,R,0
308,Thursday1,2022-12-01,R,0,R,0,0
